CountryCode,Year,inflation_cpi_yoy,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,net_lending_gdp_lag1,broad_money_growth_lag2
DNK,2022,7.6965669988926,0.028310502283105,0.05662100456621,0.0424657534246575,0.0,0.0,0.0,0.0,0.0595890410958904,3.89047649052018,9.83954459835281
DNK,2023,3.30517811237606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33867888103347,-1.04652285023299
DNK,2024,1.37220049768918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14624122404317,9.82498632297056
DOM,2022,8.81109209279587,0.0429223744292237,0.0429223744292237,0.0643835616438356,0.1287671232876712,0.0643835616438356,0.0,0.0,0.0767123287671232,-2.46543421506128,21.7508363792943
DOM,2023,4.78561281021135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1776265344522,13.7042096284029
DOM,2024,3.30223338951227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.38217585149103,5.56820715991669
GBR,2022,7.92204883147902,0.0986301369863013,0.0977168949771689,0.1726027397260274,0.0924657534246575,0.1465753424657534,0.0,0.0,0.0520547945205479,-9.17408204070175,9.7064401774406
GBR,2023,6.79396706793963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6017379653763,9.73272949147508
GBR,2024,3.2715729463592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.97705514642296,8.60749957375268
GEO,2022,11.8981654203198,0.0146118721461187,0.1351598173515981,0.1794520547945205,0.084931506849315,0.0,0.0,0.0,0.1534246575342465,-5.89305711086226,24.6080157505345
GEO,2023,2.48776056578715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.52017567938512,11.4110987014637
GEO,2024,1.10971758022096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.01649890003694,11.0371862631102
