CountryCode,Year,inflation_cpi_yoy,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,net_lending_gdp_lag1,broad_money_growth_lag2,demand_restrictions,supply_restrictions,restriction_index,inflation_cpi_yoy_dm,demand_restrictions_dm,supply_restrictions_dm,net_lending_gdp_lag1_dm,broad_money_growth_lag2_dm,restriction_index_dm
BWA,2022,11.665567478802,0.0410958904109589,0.0027397260273972,0.0,0.0,0.0,0.0,0.0,0.1636986301369863,-0.0911836669368312,5.89245991324916,0.0,0.055479452054794494,0.023776908023483357,3.72741538897308,-0.09529789084583605,-0.07546205696890627,0.642770767128328,-3.0207666804101265,-0.08679681918429469
BWA,2023,5.0676154934383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040986931231836,5.02038651534101,0.0,0.0,0.0,-1.0876406834507204,0.04764894542291802,0.037731028484453144,-0.5131202065270464,-0.05326606081552576,0.04339840959214735
BWA,2024,2.81835131676251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390341092345532,6.78583095846939,0.0,0.0,0.0,-2.6397747055223526,0.04764894542291802,0.037731028484453144,-0.12965056060128077,3.074032741225647,0.04339840959214735
CHL,2022,11.643866711056,0.2493150684931507,0.2493150684931507,0.373972602739726,0.2575342465753424,0.0,0.0,0.0,0.25,-7.7231232384713,14.065633467554,0.1578767123287671,0.16643835616438354,0.161545988258317,2.3818300039410643,0.00995325070667534,-0.0014894542291802454,-3.9989324470111485,-1.3289282619584153,0.005049234305594397
CHL,2023,7.58168251407962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13200004000061,19.2852459032946,0.0,0.0,0.0,0.1025417199045826,-0.004976625353337684,0.0007447271145901296,3.568129259636721,7.730258191284939,-0.0025246171527971983
CHL,2024,4.29763891572524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.39074850018473,3.79180342377034,0.0,0.0,0.0,-2.484371723845639,-0.004976625353337684,0.0007447271145901296,0.4308031873744289,-6.401329929326533,-0.0025246171527971983
CIV,2022,5.23352856100843,0.0374429223744292,0.2073059360730593,0.0,0.0,0.0,0.0,0.0,0.234931506849315,-5.44868638404588,21.1007351049792,0.0,0.14741248097412477,0.0631767775603392,-0.5387058961506739,-0.09529789084583605,-0.014173371022686107,1.2946623342088488,1.810835768625461,-0.06053023949305748
CIV,2023,4.36972254867474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.17873716059206,18.7449777034031,0.0,0.0,0.0,0.3803840044555358,0.04764894542291802,0.0070866855113430535,-1.7234500141613727,3.294652384552114,0.030265119746528738
CIV,2024,3.45053028131019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.41192193440121,8.98298280676062,0.0,0.0,0.0,0.1583218916951452,0.04764894542291802,0.0070866855113430535,0.4287876799525252,-5.105488153177575,0.030265119746528738
CRI,2022,8.27477490232654,0.0493150684931506,0.1643835616438356,0.1232876712328767,0.1232876712328767,0.0,0.0821917808219178,0.1191780821917808,0.0595890410958904,-2.77815643386778,17.7769648530842,0.11198630136986301,0.07465753424657534,0.09598825831702543,4.058095772174248,-0.02064035659926071,-0.06267666884105239,-1.2507798604439948,6.699732971942694,-0.03865591898859999
